
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2020-07-01,47.950000,17.650000,,,1.000000,27.000000,27.000000,27.000000,27.000000,1.540000,24.000000,27.500000
BIL,2020-07-01,100.000000,44.000000,,,4526.000000,63.000000,62.000000,62.000000,62.605734,2.250000,59.000000,62.000000
BRG,2020-07-01,20.600000,9.500000,,,847.000000,13.000000,13.000000,13.000000,13.000000,-1.000000,13.000000,13.990000
BPOW,2020-07-01,16.300000,3.000000,,,1168.000000,3.890000,3.880000,3.880000,3.888562,.030000,3.880000,3.890000
CHL,2020-07-01,12.000000,5.100000,,,.000000,.000000,.000000,6.400000,6.425000,.000000,6.420000,7.000000
CCC,2020-07-01,89.990000,35.000000,,,2301.000000,49.500000,49.000000,49.000000,49.218601,-.330000,49.000000,50.000000
CAR,2020-07-01,9.540000,5.800000,,,1534395.000000,6.500000,6.420000,6.500000,6.499943,.020000,6.490000,6.500000
CBNY,2020-07-01,.140000,.070000,,,50883.000000,.130000,.130000,.130000,.130000,.020000,.110000,.130000
DCOVE,2020-07-01,12.050000,6.000000,,,1082.000000,8.100000,8.000000,8.000000,8.000277,-.280000,8.000000,8.270000
1834,2020-07-01,1.260000,.710000,,,.000000,.000000,.000000,1.010000,1.010193,.000000,1.000000,1.050000
GK,2020-07-01,79.990000,50.510000,,,4652.000000,57.990000,57.000000,57.990000,57.967859,.400000,57.000000,57.990000
HONBUN,2020-07-01,9.900000,4.000000,,,28621.000000,5.720000,5.400000,5.400000,5.512198,-.110000,5.420000,5.720000
JBG,2020-07-01,43.630000,21.000000,,,7572.000000,28.000000,27.010000,27.990000,27.798122,-.870000,27.010000,27.990000
JP,2020-07-01,31.190000,15.000000,,,7026.000000,24.900000,24.150000,24.150000,24.881960,-.030000,24.150000,24.900000
JPS5C,2020-07-01,,,,,.000000,.000000,.000000,.380000,.380000,.000000,.430000,
JPS5D,2020-07-01,,,,,.000000,.000000,.000000,.380000,.380000,.000000,.450000,
DTL,2020-07-01,3.000000,1.400000,,,420673.000000,2.520000,2.190000,2.520000,2.454360,.230000,2.200000,2.520000
SJ,2020-07-01,84.980000,37.500000,,,726.000000,51.000000,46.250000,46.250000,48.427204,-1.830000,47.000000,50.200000
MDS,2020-07-01,9.000000,5.000000,,,.000000,.000000,.000000,6.300000,6.395146,.000000,6.320000,6.760000
KEX,2020-07-01,12.900000,5.000000,,,.000000,.000000,.000000,8.900000,8.716069,.000000,8.000000,8.900000
MTL,2020-07-01,.360000,.160000,,,250.000000,.160000,.160000,.160000,.160000,-.019000,,.260000
SIL,2020-07-01,3.990000,2.200000,,,4.000000,2.800000,2.800000,2.800000,2.800000,-.050000,2.800000,2.850000
138SL,2020-07-01,9.480000,2.850000,,,.000000,.000000,.000000,6.800000,6.796261,.000000,6.500000,6.800000
JMMBGL7.50,2020-07-01,1.000000,.550000,,,10457.000000,.750000,.650000,.650000,.749455,.000000,.650000,.750000
JMMBGL7.25,2020-07-01,1.900000,1.450000,,,.000000,.000000,.000000,1.610000,1.611667,.000000,1.800000,
SILUS,2020-07-01,.045000,.019000,,,.000000,.000000,.000000,.023000,.023000,.000000,.020000,.028500
ROC,2020-07-01,4.960000,2.000000,,,.000000,.000000,.000000,3.000000,3.000000,.000000,2.450000,3.720000
JETCON,2020-07-01,2.500000,.650000,,,1337367.000000,1.080000,.870000,1.080000,.879849,-.140000,.920000,1.050000
ISP,2020-07-01,33.000000,11.500000,,,.000000,.000000,.000000,12.000000,12.000000,.000000,9.000000,15.990000
KEY,2020-07-01,11.500000,2.000000,,,249.000000,4.950000,4.950000,4.950000,4.950000,.000000,4.800000,4.950000
PJX,2020-07-01,11.000000,7.000000,,,200.000000,7.350000,7.350000,7.350000,7.350000,.030000,7.320000,9.000000
JMMBGL7.00NC,2020-07-01,2.000000,1.500000,,,.000000,.000000,.000000,1.680000,1.680000,.000000,,1.680000
