
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2016-09-01,21.000000,9.500000,.572100,,,,,17.500000,17.500000,.000000,17.500000,17.530000
BIL,2016-09-01,6.000000,2.180000,.070000,,247.000000,3.110000,3.110000,3.110000,3.110000,.010000,3.100000,3.110000
BRG,2016-09-01,5.250000,2.280000,.120000,,2801.000000,4.990000,4.990000,4.990000,4.990000,-.010000,4.800000,5.000000
BPOW,2016-09-01,20.000000,9.300000,.150000,,211.000000,20.000000,20.000000,20.000000,20.000000,.200000,18.050000,20.000000
CWJ,2016-09-01,2.000000,.440000,,,7254.000000,1.060000,1.060000,1.060000,1.060000,-.040000,1.080000,1.100000
CHL,2016-09-01,77.000000,31.000000,2.350000,,,,,76.010000,76.170000,.000000,80.010000,
CCC,2016-09-01,34.000000,7.510000,,,26011.000000,26.000000,25.500000,25.500000,25.500000,-.940000,25.500000,26.000000
CAR,2016-09-01,68.000000,48.500000,8.740000,,113782.000000,65.550000,65.500000,65.510000,65.500000,.170000,65.500000,66.000000
CBNY,2016-09-01,.290000,.080000,,,,,,.190000,.190000,.000000,.160000,.170000
DCOVE,2016-09-01,17.000000,10.000000,.600000,,,,,15.200000,15.200000,.000000,14.300000,15.000000
1834,2016-09-01,1.770000,.970000,,,152042.000000,1.300000,1.110000,1.200000,1.140000,-.160000,1.130000,1.200000
GK,2016-09-01,47.710000,12.600000,2.480000,,233174.000000,43.500000,43.000000,43.500000,43.110000,-.590000,43.000000,43.500000
HONBUN,2016-09-01,7.510000,.730000,.120000,,4500.000000,5.300000,5.300000,5.300000,5.300000,.000000,5.200000,6.050000
JBG,2016-09-01,15.550000,5.600000,.190000,,8880.000000,14.750000,14.650000,14.650000,14.680000,.160000,14.650000,14.750000
JP,2016-09-01,8.800000,2.285714,.200000,,574462.000000,8.600000,8.350000,8.350000,8.360000,-.150000,8.300000,8.490000
JPS5C,2016-09-01,,,.075000,,,,,.360000,.360000,.000000,.370000,
JPS5D,2016-09-01,,,.075000,,,,,.350000,.350000,.000000,.360000,
JPS6,2016-09-01,,,.090000,,,,,.400000,.400000,.000000,.410000,
JPS7,2016-09-01,.410000,.410000,.105000,,,,,.410000,.410000,.000000,.410000,
JAMT,2016-09-01,5.240000,1.500000,,,,,,3.200000,3.290000,.000000,3.400000,3.630000
KPREIT,2016-09-01,10.000000,6.500000,.002900,,,,,9.110000,9.110000,.000000,9.150000,11.500000
KW,2016-09-01,20.000000,6.450000,.200000,,97624.000000,20.000000,17.010000,17.010000,17.360000,.290000,17.510000,
LASD,2016-09-01,9.010000,1.700000,.027500,,7571.000000,7.000000,6.900000,6.900000,6.920000,-.060000,6.750000,6.900000
LASF,2016-09-01,5.750000,1.550000,.031100,,,,,3.350000,3.400000,.000000,3.300000,3.400000
LASM,2016-09-01,5.250000,1.670000,.025000,,23652.000000,4.570000,4.320000,4.570000,4.430000,-.080000,4.370000,4.570000
MIL,2016-09-01,5.080000,2.200000,.200000,,10500.000000,3.280000,3.280000,3.280000,3.280000,.000000,3.280000,3.820000
MBICE,2016-09-01,20.000000,14.900000,,,,,,20.000000,20.000000,.000000,,
NCBJ,2016-09-01,45.000000,27.000000,2.200000,,35171.000000,40.510000,40.050000,40.500000,40.100000,-.390000,40.050000,40.500000
PAL,2016-09-01,165.000000,74.000000,,,,,,165.000000,165.000000,.000000,165.000000,
PJAM,2016-09-01,28.000000,12.170000,2.850000,,5600.000000,23.500000,23.500000,23.500000,23.500000,.000000,23.510000,24.500000
PULS,2016-09-01,4.800000,.350000,,,,,,3.750000,3.750000,.000000,2.350000,3.750000
RJR,2016-09-01,2.220000,.750000,.100000,,135591.000000,1.570000,1.490000,1.500000,1.510000,-.050000,1.490000,1.500000
SALF,2016-09-01,10.000000,7.500000,.400000,,,,,9.150000,9.150000,.000000,8.000000,9.150000
SGJ,2016-09-01,37.000000,23.500000,1.600000,,2695006.000000,30.400000,30.000000,30.000000,30.000000,-.400000,30.000000,30.400000
SIJL,2016-09-01,34.300000,24.010000,1.800000,,5000.000000,26.000000,26.000000,26.000000,26.000000,.000000,25.550000,26.000000
SEP,2016-09-01,22.100000,14.000000,.950000,,2300.000000,21.000000,21.000000,21.000000,21.000000,1.000000,20.000000,21.000000
SVL,2016-09-01,7.000000,3.400000,.620000,,24950.000000,4.980000,4.800000,4.980000,4.840000,.040000,4.800000,4.950000
TCL,2016-09-01,,,,,,,,15.000000,15.000000,.000000,17.250000,
PROVEN,2016-09-01,.250000,.150000,.007100,,3200.000000,.199000,.199000,.199000,.199000,.003700,.190000,.199000
AMG,2016-09-01,21.500000,3.600000,.180000,,,,,13.560000,13.560000,.000000,13.560000,14.150000
JAMTVR2017,2016-09-01,100.000000,100.000000,,,,,,100.000000,100.000000,.000000,,
EPLY9.5,2016-09-01,6.140000,6.000000,.570100,,,,,6.110000,6.110000,.000000,6.120000,
DTL,2016-09-01,5.000000,2.300000,,,,,,3.050000,3.050000,.000000,3.100000,4.000000
SJ,2016-09-01,25.000000,12.500000,.730000,,172060.000000,23.000000,22.020000,22.020000,22.900000,.410000,22.010000,22.490000
MDS,2016-09-01,4.000000,2.350000,.040000,,4000.000000,3.200000,3.200000,3.200000,3.200000,-.300000,3.200000,3.650000
KEX,2016-09-01,26.110000,6.000000,.150000,,19435.000000,26.110000,25.000000,25.000000,25.040000,-.460000,24.500000,25.000000
MTL,2016-09-01,.210000,.100000,.008300,,237000.000000,.210000,.200100,.200100,.209916,-.000100,.200000,
MCL9,2016-09-01,,,,,,,,,5.480000,.000000,,
CAC,2016-09-01,7.500000,4.940000,,,,,,6.400000,6.400000,.000000,5.100000,6.500000
TTECH,2016-09-01,6.000000,3.000000,,,50000.000000,4.500000,4.500000,4.500000,4.500000,.000000,4.100000,5.000000
JMMBGLUSD6.00,2016-09-01,1.160000,1.000000,,,10000.000000,1.100000,1.100000,1.100000,1.100000,.010000,1.100000,
JMMBGLUSD5.75,2016-09-01,,,,,,,,,1.500000,.000000,,
JMMBGL7.50,2016-09-01,1.200000,1.010000,,,,,,1.080000,1.070000,.000000,1.050000,1.080000
JMMBGL7.25,2016-09-01,,,,,,,,,1.500000,.000000,,
JPGVR2019,2016-09-01,,,,,,,,,100.000000,.000000,,
SILUS,2016-09-01,.110000,.110000,,,,,,.110000,.110000,.000000,.110000,
ROC,2016-09-01,4.510000,3.100000,,,,,,3.180000,3.180000,.000000,3.180000,3.990000
JETCON,2016-09-01,3.230000,2.470000,,,70243.000000,3.230000,2.900000,2.900000,2.960000,-.250000,2.900000,3.500000
ISP,2016-09-01,5.220000,2.250000,,,,,,5.220000,5.220000,.000000,5.470000,6.000000
KEY,2016-09-01,3.000000,2.500000,,,,,,2.650000,2.650000,.000000,,2.550000
PJX,2016-09-01,14.000000,11.000000,,,,,,11.000000,11.000000,.000000,11.000000,11.450000
AFSVR2020,2016-09-01,,,,,,,,,100.000000,.000000,,
CPJ,2016-09-01,6.000000,2.100000,.050000,,3539137.000000,3.240000,2.970000,2.970000,3.010000,-.490000,2.950000,3.390000
GENAC,2016-09-01,3.000000,1.350000,.167000,,2000000.000000,2.050000,2.050000,2.050000,2.050000,-.250000,2.040000,2.300000
PROVEN8,2016-09-01,5.500000,4.800000,.400000,,622.000000,5.000000,5.000000,5.000000,5.000000,.070000,.180000,5.000000
MUSIC,2016-09-01,.510000,.240000,,,114500.000000,.260000,.240000,.240000,.240000,.000000,,.240000
KLE,2016-09-01,2.800000,.420000,,,,,,1.400000,1.400000,.000000,1.400000,1.800000
PURITY,2016-09-01,2.550000,1.000000,,,43245.000000,2.200000,2.200000,2.200000,2.200000,-.050000,2.200000,2.350000
PTL,2016-09-01,14.500000,5.750000,.390000,,,,,12.000000,12.100000,.000000,12.800000,
KREMI,2016-09-01,8.000000,1.600000,,,7500.000000,7.010000,7.010000,7.010000,7.010000,.190000,7.010000,7.050000
JSE,2016-09-01,25.100000,7.110000,1.000000,,38341.000000,24.100000,23.500000,24.100000,23.880000,2.380000,24.150000,25.500000
EPLY,2016-09-01,735.000000,400.000000,64.190000,,,,,735.000000,735.000000,.000000,500.000000,
JMMB7.25,2016-09-01,2.500000,2.000000,.184800,,,,,2.400000,2.400000,.000000,,
JMMB7.5,2016-09-01,2.250000,1.800000,.152400,,,,,2.100000,2.100000,.000000,2.100000,
CFF,2016-09-01,10.000000,2.700000,.100000,,,,,7.200000,7.200000,.000000,7.260000,7.750000
JPS9.5,2016-09-01,1247.000000,1125.000000,.952700,,,,,1247.000000,1247.000000,.000000,,
XFUND,2016-09-01,12.050000,6.950000,.160000,,14140.000000,10.200000,10.150000,10.200000,10.160000,.100000,10.150000,10.200000
SRA,2016-09-01,4.050000,3.840000,,,,,,3.850000,3.850000,.000000,,3.850000
