
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2020-03-02,53.000000,24.700000,.870000,.100000,100.000000,32.940000,32.940000,32.940000,32.940000,.000000,27.510000,32.000000
BIL,2020-03-02,100.000000,36.800000,2.197000,,10807.000000,68.670000,60.030000,66.000000,66.496375,-1.870000,67.500000,68.000000
BRG,2020-03-02,21.000000,12.750000,.307000,,1238.000000,14.500000,12.750000,12.750000,14.163570,.160000,12.750000,15.900000
BPOW,2020-03-02,16.300000,3.290000,.020000,,10072.000000,5.000000,4.570000,4.570000,4.988632,.420000,4.510000,4.570000
CHL,2020-03-02,13.000000,7.500000,.240000,,.000000,,,7.800000,7.978488,.000000,7.000000,7.980000
CCC,2020-03-02,100.000000,49.000000,,,19413.000000,78.000000,70.000000,71.500000,77.608278,6.660000,69.890000,71.000000
CAR,2020-03-02,9.910000,7.500000,.670000,.150000,278246.000000,7.990000,7.800000,7.980000,7.946042,-.070000,7.950000,8.000000
CBNY,2020-03-02,.160000,.070000,,,99037.000000,.120000,.120000,.120000,.120000,.000000,.110000,.120000
DCOVE,2020-03-02,14.900000,9.000000,.600000,,8177.000000,11.390000,11.370000,11.380000,11.377742,.920000,9.500000,11.400000
1834,2020-03-02,1.260000,.750000,.080000,,53991.000000,1.150000,1.050000,1.050000,1.065560,-.030000,1.050000,1.150000
GK,2020-03-02,79.990000,58.000000,1.550000,,44838.000000,68.000000,64.500000,65.990000,66.228069,-1.720000,64.500000,66.000000
HONBUN,2020-03-02,9.900000,3.700000,.060000,.050000,10144.000000,7.150000,6.250000,6.680000,6.629432,-.050000,6.260000,6.650000
JBG,2020-03-02,43.630000,28.000000,.390000,,66313.000000,36.000000,34.020000,36.000000,35.888378,-.040000,36.000000,37.000000
JP,2020-03-02,31.190000,20.500000,,.150000,54510.000000,22.000000,21.000000,22.000000,21.138364,.260000,21.020000,22.000000
JPS5C,2020-03-02,,,.100000,,.000000,,,,.380000,.000000,.430000,
JPS5D,2020-03-02,,,.100000,,.000000,,,,.380000,.000000,.430000,
JPS6,2020-03-02,,,.120000,,.000000,,,,.440000,.000000,.500000,
JPS7,2020-03-02,,,.140000,,.000000,,,,.480000,.000000,.530000,
JAMT,2020-03-02,9.000000,3.000000,.060000,,5645.000000,6.170000,5.720000,5.800000,5.865481,-.550000,5.800000,6.170000
KPREIT,2020-03-02,8.450000,4.870000,.001400,,2000.000000,6.150000,6.000000,6.000000,6.075000,-.070000,6.100000,6.150000
KW,2020-03-02,78.000000,47.000000,.480000,.310000,27387.000000,53.990000,51.000000,51.000000,53.372312,-.980000,51.000000,53.500000
LASD,2020-03-02,4.000000,2.690000,.043000,,111097.000000,2.900000,2.700000,2.700000,2.714852,.020000,2.700000,2.900000
LASF,2020-03-02,7.000000,3.000000,,,12935.000000,3.200000,3.000000,3.000000,3.170777,.000000,2.530000,3.000000
LASM,2020-03-02,6.500000,3.000000,.061100,,88600.000000,3.980000,3.500000,3.600000,3.961049,-.040000,3.700000,4.000000
MIL,2020-03-02,10.140000,7.000000,,,14446.000000,8.200000,7.910000,7.910000,8.016489,-.210000,7.900000,8.000000
PAL,2020-03-02,2900.000000,1250.000000,,,.000000,,,2789.000000,2789.000000,.000000,2700.000000,3000.000000
PJAM,2020-03-02,110.600000,73.000000,1.060000,.250000,125859.000000,99.990000,98.000000,99.990000,98.984288,-1.260000,99.000000,99.990000
PULS,2020-03-02,13.000000,2.300000,.018000,.020000,66358.000000,11.450000,11.050000,11.450000,11.415025,.020000,11.100000,11.450000
RJR,2020-03-02,2.580000,.990000,,,8645.000000,1.700000,1.650000,1.700000,1.654839,.000000,1.680000,1.700000
SALF,2020-03-02,38.250000,25.000000,1.150000,,100.000000,35.000000,35.000000,35.000000,35.000000,1.230000,29.000000,36.000000
SGJ,2020-03-02,62.400000,48.800000,4.720000,.550000,7975.000000,55.000000,54.000000,54.500000,54.344122,-.630000,54.970000,54.990000
SEP,2020-03-02,70.000000,41.710000,.950000,.500000,38386.000000,55.000000,51.000000,51.410000,51.806175,-1.500000,51.000000,51.410000
