
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2016-05-02,21.000000,9.500000,.572100,,,,,16.500000,16.500000,.000000,16.500000,20.000000
BIL,2016-05-02,6.000000,2.070000,.070000,,,,,3.720000,3.440000,.000000,3.050000,3.250000
BRG,2016-05-02,5.080000,1.800000,.120000,,3200.000000,4.000000,4.000000,4.000000,4.000000,.000000,3.700000,3.950000
BPOW,2016-05-02,14.050000,8.810000,.150000,,,,,12.000000,12.000000,.000000,12.500000,
CWJ,2016-05-02,2.000000,.390000,,,160020.000000,1.370000,1.350000,1.350000,1.350000,-.020000,1.350000,1.390000
CHL,2016-05-02,45.000000,21.000000,2.350000,,,,,45.000000,45.000000,.000000,44.050000,
CCC,2016-05-02,34.000000,4.010000,,,7498.000000,26.500000,26.500000,26.500000,26.500000,.020000,26.000000,26.500000
CAR,2016-05-02,68.000000,47.000000,8.740000,,6000.000000,62.500000,61.500000,62.500000,61.730000,-1.110000,61.660000,62.500000
CBNY,2016-05-02,.290000,.080000,,,,,,.130000,.140000,.000000,.150000,.180000
DCOVE,2016-05-02,17.000000,9.200000,.600000,,16144.000000,12.500000,12.250000,12.500000,12.470000,-.030000,12.510000,13.000000
1834,2016-05-02,1.770000,.970000,,,833.000000,1.150000,1.150000,1.150000,1.150000,.170000,.990000,1.300000
GK,2016-05-02,85.000000,62.150000,2.480000,,2602.000000,83.000000,83.000000,83.000000,83.000000,.090000,82.050000,83.000000
HL,2016-05-02,19.000000,10.000000,.320000,,,,,12.500000,12.510000,.000000,,12.500000
HONBUN,2016-05-02,17.950000,1.900000,.120000,,500.000000,17.950000,17.950000,17.950000,17.950000,.750000,17.950000,20.000000
JBG,2016-05-02,15.550000,4.800000,.190000,,14350.000000,14.400000,14.100000,14.150000,14.160000,-.200000,14.100000,14.150000
JP,2016-05-02,35.500000,16.000000,.200000,,100.000000,33.350000,33.350000,33.350000,33.350000,-.150000,33.510000,34.500000
JPS5C,2016-05-02,,,.075000,,,,,.360000,.360000,.000000,.360000,
JPS5D,2016-05-02,,,.075000,,,,,.350000,.350000,.000000,.360000,
JPS6,2016-05-02,,,.090000,,,,,.400000,.400000,.000000,.400000,
JPS7,2016-05-02,,,.105000,,,,,.390000,.390000,.000000,.400000,
