
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2018-01-02,52.000000,25.000000,.870000,,.000000,.000000,.000000,36.000000,36.430000,.000000,37.000000,42.000000
BIL,2018-01-02,12.000000,5.550000,.110000,,.000000,.000000,.000000,7.500000,7.470000,.000000,7.940000,7.950000
BRG,2018-01-02,24.000000,5.650000,.500000,,525.000000,17.000000,17.000000,17.000000,17.000000,.450000,17.000000,18.000000
BPOW,2018-01-02,57.600000,25.500000,.190000,,.000000,.000000,.000000,44.000000,42.180000,.000000,25.000000,44.000000
CWJ,2018-01-02,1.800000,.750000,,,1804417.000000,1.400000,1.250000,1.400000,1.390000,.190000,1.350000,1.390000
CHL,2018-01-02,30.000000,9.500000,.245000,,100.000000,10.900000,10.900000,10.900000,10.900000,.900000,10.500000,10.900000
CCC,2018-01-02,40.000000,18.000000,,,9800.000000,32.000000,31.470000,32.000000,31.920000,-.540000,31.470000,32.000000
CAR,2018-01-02,14.000000,6.000000,5.980000,,234822.000000,11.450000,11.310000,11.450000,11.400000,.000000,11.310000,11.500000
CBNY,2018-01-02,.500000,.150000,,,728.000000,.370000,.370000,.370000,.370000,-.040000,.200000,.370000
DCOVE,2018-01-02,22.500000,13.200000,.800000,,.000000,.000000,.000000,16.000000,16.000000,.000000,16.150000,17.000000
1834,2018-01-02,2.270000,1.150000,.080000,,459937.000000,1.300000,1.300000,1.300000,1.300000,.050000,1.260000,1.500000
GK,2018-01-02,46.500000,38.050000,1.130000,,16000.000000,43.500000,42.800000,43.500000,43.430000,-.410000,42.800000,43.000000
HONBUN,2018-01-02,8.800000,3.000000,.040000,,3523.000000,4.500000,4.500000,4.500000,4.500000,.480000,4.550000,5.000000
JBG,2018-01-02,20.000000,14.000000,.350000,,26937.000000,18.000000,17.450000,17.800000,17.570000,-.260000,17.210000,18.000000
JP,2018-01-02,22.000000,9.400000,.120000,,1683.000000,16.500000,16.500000,16.500000,16.500000,-.200000,16.500000,16.700000
JPS5C,2018-01-02,.380000,.380000,.100000,,.000000,.000000,.000000,.380000,.380000,.000000,.380000,.000000
JPS5D,2018-01-02,.380000,.380000,.100000,,.000000,.000000,.000000,.380000,.380000,.000000,.400000,.000000
MIL,2018-01-02,6.390000,4.000000,.230000,,.000000,.000000,.000000,6.000000,5.910000,.000000,4.310000,6.000000
PAL,2018-01-02,560.000000,200.000000,1.000000,,.000000,.000000,.000000,560.000000,560.000000,.000000,300.000000,560.000000
PJAM,2018-01-02,45.000000,25.050000,1.050000,,5341.000000,45.000000,43.000000,45.000000,44.790000,-.210000,43.000000,45.000000
PULS,2018-01-02,16.200000,.583333,.080000,,94172.000000,1.800000,1.800000,1.800000,1.800000,.000000,2.050000,2.600000
RJR,2018-01-02,2.000000,1.000000,.020000,,159905.000000,1.050000,1.020000,1.020000,1.040000,-.010000,1.020000,1.100000
SALF,2018-01-02,12.000000,6.500000,.500000,,117951.000000,12.000000,11.500000,11.500000,11.580000,.330000,11.100000,11.500000
SGJ,2018-01-02,60.000000,34.500000,1.800000,.480000,104683.000000,53.850000,53.000000,53.000000,53.020000,.360000,53.000000,53.850000
SIJL,2018-01-02,42.500000,29.500000,1.800000,,.000000,.000000,.000000,35.500000,35.500000,.000000,.000000,.000000
SEP,2018-01-02,45.100000,25.000000,.950000,,3250.000000,31.000000,31.000000,31.000000,31.000000,1.000000,30.000000,31.000000
PURITY,2018-01-02,4.500000,1.400000,,,.000000,.000000,.000000,1.800000,1.800000,.000000,1.800000,1.900000
PTL,2018-01-02,4.200000,2.500000,,,.000000,.000000,.000000,3.000000,3.070000,.000000,3.300000,3.500000
KREMI,2018-01-02,8.590000,4.800000,.060000,,800.000000,6.000000,6.000000,6.000000,6.000000,1.190000,4.810000,6.100000
JSE,2018-01-02,13.500000,5.300000,.145600,,12000.000000,7.300000,7.050000,7.050000,7.050000,.050000,7.070000,7.500000
EPLY,2018-01-02,13.000000,10.000000,.371600,,.000000,.000000,.000000,12.000000,12.000000,.000000,12.000000,12.600000
JMMB7.25,2018-01-02,2.510000,2.390000,.272293,,4266.000000,2.490000,2.490000,2.490000,2.490000,.000000,.000000,2.490000
JMMB7.5,2018-01-02,2.150000,1.710000,.180539,,6981.000000,1.900000,1.900000,1.900000,1.900000,.000000,1.820000,1.900000
CFF,2018-01-02,15.150000,8.500000,.250000,,.000000,.000000,.000000,11.000000,11.000000,.000000,5.500000,11.500000
SRA,2018-01-02,3.860000,2.980000,,,.000000,.000000,.000000,3.850000,3.850000,.000000,1.000000,3.850000
SIL,2018-01-02,18.200000,11.900000,,,.000000,.000000,.000000,13.000000,13.000000,.000000,12.000000,13.000000
138SL,2018-01-02,6.080000,4.450000,,,.000000,.000000,.000000,6.080000,6.080000,.000000,6.070000,7.900000
138SLVR,2018-01-02,5.680000,5.000000,,,.000000,.000000,.000000,5.680000,5.680000,.000000,.000000,5.680000
DTL11.75,2018-01-02,2.500000,1.950000,.235600,,.000000,.000000,.000000,2.150000,2.150000,.000000,2.150000,.000000
JMMBGL,2018-01-02,30.700000,14.000000,.430000,,65054.000000,24.500000,23.500000,24.000000,23.980000,1.590000,24.000000,27.000000
ProvenJA,2018-01-02,26.000000,19.000000,1.119350,,.000000,.000000,.000000,25.000000,25.070000,.000000,25.970000,.000000
EPLYSTP,2018-01-02,6.850000,6.000000,.720500,,.000000,.000000,.000000,6.000000,6.000000,.000000,6.000000,6.550000
CAC,2018-01-02,8.500000,5.250000,,,1400.000000,6.500000,6.500000,6.500000,6.500000,.000000,6.500000,7.300000
TTECH,2018-01-02,10.000000,5.180000,.040000,,.000000,.000000,.000000,6.890000,6.890000,.000000,3.750000,6.500000
JMMBGLUSD6.00,2018-01-02,1.200000,1.090000,.060000,.030223,.000000,.000000,.000000,1.120000,1.120000,.000000,1.130000,1.200000
JMMBGLUSD5.75,2018-01-02,1.500000,1.500000,.086200,.043439,.000000,.000000,.000000,1.500000,1.500000,.000000,.000000,.000000
JMMBGL7.50,2018-01-02,1.200000,1.040000,.075600,.012769,.000000,.000000,.000000,1.150000,1.150000,.000000,1.150000,1.160000
JMMBGL7.25,2018-01-02,1.600000,1.300000,.117500,.018436,.000000,.000000,.000000,1.500000,1.500000,.000000,.000000,.000000
SILUS,2018-01-02,.122100,.110000,,,.000000,.000000,.000000,.122100,.122100,.000000,.000000,.122100
JPGVR2019,2018-01-02,100.000000,100.000000,,,.000000,.000000,.000000,100.000000,100.000000,.000000,.000000,.000000
ROC,2018-01-02,4.100000,2.800000,,,13670.000000,2.840000,2.800000,2.840000,2.830000,-.020000,2.860000,3.250000
JETCON,2018-01-02,8.666666,2.000000,,,43000.000000,4.950000,4.800000,4.950000,4.900000,.090000,4.900000,4.950000
ISP,2018-01-02,35.000000,8.500000,,,.000000,.000000,.000000,12.000000,12.060000,.000000,12.060000,20.250000
KEY,2018-01-02,4.750000,2.800000,,,.000000,.000000,.000000,3.450000,3.380000,.000000,3.450000,4.000000
PJX,2018-01-02,11.210000,7.500000,,,.000000,.000000,.000000,10.000000,10.000000,.000000,9.950000,10.000000
AFSVR2020,2018-01-02,,,,,.000000,.000000,.000000,100.000000,100.000000,.000000,.000000,.000000
