
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2020-02-03,53.000000,29.000000,.870000,,.000000,.000000,.000000,36.000000,34.810070,.000000,30.310000,34.000000
BIL,2020-02-03,100.000000,36.800000,2.197000,,5705.000000,71.980000,71.180000,71.500000,71.584866,.400000,71.180000,71.500000
BRG,2020-02-03,21.000000,15.110000,.307000,,43215.000000,16.500000,16.500000,16.500000,16.500000,.000000,16.500000,17.000000
BPOW,2020-02-03,16.300000,3.700000,.020000,,3877.000000,4.000000,3.700000,4.000000,3.927075,.140000,3.750000,4.000000
CHL,2020-02-03,15.100000,8.000000,.240000,,.000000,.000000,.000000,8.250000,8.250000,.000000,8.010000,9.500000
CCC,2020-02-03,100.000000,42.000000,,,9203.000000,74.990000,69.000000,74.000000,73.860290,1.110000,70.000000,74.000000
CAR,2020-02-03,9.910000,7.500000,.670000,,108448.000000,8.140000,8.000000,8.140000,8.040737,.010000,8.050000,8.140000
CBNY,2020-02-03,.170000,.070000,,,95977.000000,.120000,.100000,.100000,.114427,-.010000,.100000,.140000
DCOVE,2020-02-03,15.500000,9.000000,.600000,,2393.000000,10.000000,9.800000,9.800000,9.843209,-.200000,9.320000,11.410000
1834,2020-02-03,1.260000,.750000,.080000,,150814.000000,1.030000,1.000000,1.030000,1.024957,.000000,.980000,1.030000
GK,2020-02-03,79.990000,56.060000,1.550000,,17183.000000,75.000000,73.500000,74.000000,74.174999,.830000,70.500000,74.000000
HONBUN,2020-02-03,9.900000,3.700000,.060000,.050000,33321.000000,7.000000,6.100000,6.980000,6.835647,-.160000,6.800000,7.000000
JBG,2020-02-03,43.630000,28.000000,.390000,,112264.000000,36.490000,34.000000,34.000000,36.235371,.020000,34.000000,36.490000
JP,2020-02-03,31.190000,21.000000,,.150000,851.000000,26.000000,25.990000,26.000000,25.996275,.520000,25.010000,26.000000
JPS5C,2020-02-03,,,.100000,,.000000,.000000,.000000,,.380000,.000000,.420000,
JPS5D,2020-02-03,,,.100000,,.000000,.000000,.000000,,.380000,.000000,,
JPS6,2020-02-03,,,.120000,,.000000,.000000,.000000,,.440000,.000000,.520000,
JPS7,2020-02-03,,,.140000,,.000000,.000000,.000000,,.480000,.000000,.530000,
JAMT,2020-02-03,9.000000,3.000000,.060000,,159866.000000,6.680000,6.500000,6.500000,6.596184,-.070000,6.500000,6.700000
KPREIT,2020-02-03,8.450000,5.000000,.001400,,8009.000000,7.500000,6.200000,6.200000,6.490923,-1.010000,6.110000,6.200000
KW,2020-02-03,78.000000,47.000000,.480000,.310000,141.000000,69.000000,68.000000,69.000000,68.319149,.980000,61.000000,68.000000
LASD,2020-02-03,4.100000,3.000000,.043000,,83905.000000,3.140000,3.010000,3.020000,3.016706,-.090000,3.020000,3.190000
LASF,2020-02-03,7.000000,3.600000,,,10000.000000,3.650000,3.650000,3.650000,3.650000,-.070000,3.650000,4.000000
LASM,2020-02-03,6.500000,3.000000,.061100,,26806.000000,4.050000,3.960000,3.960000,4.012979,-.080000,3.960000,4.150000
MIL,2020-02-03,10.140000,7.000000,,,22803.000000,7.500000,7.200000,7.500000,7.459058,-.070000,7.200000,8.000000
PAL,2020-02-03,2900.000000,1250.000000,,,.000000,.000000,.000000,2789.000000,2789.000000,.000000,,
PJAM,2020-02-03,110.600000,73.000000,1.060000,.250000,2697.000000,101.000000,100.100000,101.000000,100.718224,.550000,100.100000,101.000000
PULS,2020-02-03,7.980000,2.300000,.018000,,10166.000000,6.490000,6.470000,6.470000,6.473126,-.020000,6.400000,6.490000
RJR,2020-02-03,2.580000,.800000,,,94378.000000,1.770000,1.660000,1.660000,1.690124,.110000,1.700000,1.750000
SALF,2020-02-03,42.500000,25.000000,1.150000,,.000000,.000000,.000000,32.000000,32.000000,.000000,30.000000,34.000000
SGJ,2020-02-03,62.400000,48.800000,4.720000,.550000,244916.000000,57.000000,53.550000,57.000000,53.641261,-1.730000,53.600000,57.000000
SEP,2020-02-03,70.000000,32.500000,.950000,.500000,17379.000000,49.000000,46.000000,47.000000,46.543357,-.520000,47.000000,48.000000
SVL,2020-02-03,34.320000,19.000000,.770000,,39312.000000,22.990000,21.600000,22.950000,22.616416,1.050000,22.000000,22.950000
PROVEN,2020-02-03,.370000,.190100,.010500,,4377.000000,.320000,.320000,.320000,.320000,.008000,.300000,.320000
AMG,2020-02-03,2.650000,1.700000,,,6424.000000,2.050000,1.900000,2.050000,2.007821,-.020000,1.900000,2.050000
CPJ,2020-02-03,5.300000,4.110000,,,600.000000,5.100000,4.810000,4.810000,5.012417,.200000,4.800000,5.000000
GENAC,2020-02-03,9.000000,3.860000,,,.000000,.000000,.000000,6.000000,6.171314,.000000,5.900000,6.710000
KLE,2020-02-03,3.200000,1.400000,,,.000000,.000000,.000000,2.300000,2.300000,.000000,2.100000,2.700000
PURITY,2020-02-03,2.500000,1.450000,,,.000000,.000000,.000000,1.750000,1.761582,.000000,1.780000,1.800000
PTL,2020-02-03,2.500000,1.500000,,,26707.000000,1.550000,1.550000,1.550000,1.550000,-.060000,1.510000,1.890000
KREMI,2020-02-03,6.000000,3.600000,.048000,,.000000,.000000,.000000,4.000000,4.000000,.000000,3.300000,3.700000
JSE,2020-02-03,40.010000,12.150000,.400000,,12476.000000,32.150000,30.500000,30.500000,30.883416,-.740000,30.500000,32.000000
EPLY,2020-02-03,20.000000,9.000000,.471600,,924.000000,14.200000,14.200000,14.200000,14.200000,.140000,13.500000,14.200000
CFF,2020-02-03,20.500000,10.500000,.250000,,.000000,.000000,.000000,16.000000,16.000000,.000000,10.160000,16.000000
JPS9.5,2020-02-03,1302.000000,1302.000000,.710547,,.000000,.000000,.000000,,1302.000000,.000000,,
XFUND,2020-02-03,13.000000,8.000000,,,1303.000000,9.600000,9.600000,9.600000,9.600000,.010000,9.000000,9.600000
DTL,2020-02-03,3.000000,1.970000,.010000,,235214.000000,2.040000,2.000000,2.000000,2.008503,.010000,2.250000,2.290000
