
Symbol,Date,"52 Week High","52 Week Low","Previous Year Div","Current Year Div","Volume (non block)","Today High","Today Low","Last Traded","Close Price","Price Change","Closing Bid","Closing Ask"
AFS,2017-05-01,43.800000,16.000000,.640000,.150000,.000000,,,.000000,41.750000,.000000,42.100000,50.000000
BIL,2017-05-01,8.550000,2.500000,.110000,.110000,.000000,,,.000000,7.000000,.000000,6.860000,7.000000
BRG,2017-05-01,16.550000,4.000000,.200000,,38142.000000,16.550000,15.590000,16.000000,16.000000,.410000,16.000000,16.550000
BPOW,2017-05-01,57.600000,13.500000,.170000,,.000000,,,.000000,37.150000,.000000,38.100000,60.000000
CWJ,2017-05-01,1.800000,.650000,,,181062.000000,1.400000,1.340000,1.350000,1.370000,.050000,1.350000,1.400000
CHL,2017-05-01,30.000000,4.600000,2.650000,.135000,1035.000000,20.400000,20.400000,20.400000,20.400000,.300000,20.100000,20.400000
CCC,2017-05-01,39.700000,19.100000,,,19575.000000,27.150000,26.010000,26.010000,27.030000,-.120000,26.010000,27.000000
CAR,2017-05-01,77.500000,60.000000,6.700000,2.200000,6003.000000,77.500000,76.890000,76.890000,77.420000,.530000,77.000000,78.500000
CBNY,2017-05-01,.260000,.100000,,,.000000,,,.000000,.190000,.000000,.180000,.190000
DCOVE,2017-05-01,21.000000,10.000000,.600000,.400000,.000000,,,.000000,21.000000,.000000,21.000000,
1834,2017-05-01,2.270000,.970000,.120000,.080000,49071.000000,1.700000,1.700000,1.700000,1.700000,-.110000,1.550000,1.700000
GK,2017-05-01,47.710000,27.350000,1.540000,.300000,13475.000000,44.000000,42.000000,43.900000,42.960000,-1.040000,43.900000,44.000000
HONBUN,2017-05-01,8.800000,3.300000,.130000,.020000,700.000000,7.500000,7.500000,7.500000,7.500000,-.050000,7.400000,7.500000
JBG,2017-05-01,17.000000,13.500000,.330000,.180000,9318.000000,16.990000,16.900000,16.900000,16.990000,.020000,16.500000,17.000000
JP,2017-05-01,22.000000,6.400000,.400000,.120000,2590.000000,17.500000,16.680000,17.500000,17.310000,.630000,15.710000,16.680000
JPS5C,2017-05-01,.360000,.360000,.100000,.025000,.000000,,,.000000,.360000,.000000,,
JPS5D,2017-05-01,.360000,.360000,.100000,.025000,.000000,,,.000000,.360000,.000000,,
JPS6,2017-05-01,.410000,.410000,.120000,.030000,.000000,,,.000000,.410000,.000000,.450000,
JPS7,2017-05-01,.450000,.410000,.140000,.035000,.000000,,,.000000,.450000,.000000,.450000,
MIL,2017-05-01,6.390000,3.000000,.220000,,230961.000000,4.600000,4.100000,4.600000,4.450000,-.150000,4.200000,4.700000
NCBJ,2017-05-01,65.000000,36.100000,2.400000,.600000,.000000,,,.000000,62.360000,.000000,,
