
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
AFS,2017-08-11,,.230000,2017-08-09,2017-08-25
Proven,2017-08-11,,.001500,2017-08-09,2017-08-25
ProvenJA,2017-08-11,,.191800,2017-08-09,2017-08-25
JPS9.5,2017-08-08,,.002394,2017-08-03,2017-08-31
LASF,2017-08-02,,.040000,2017-07-28,2017-08-11
BRG,2017-07-31,,.200000,2017-07-27,2017-08-11
BRG,2017-07-31,,.300000,2017-07-27,2017-08-11
JMMB7.25,2017-07-28,,.009200,2017-07-26,2017-08-14
JMMBGL7.50,2017-07-28,,.006400,2017-07-26,2017-08-14
JMMBGL7.25,2017-07-28,,.009200,2017-07-26,2017-08-14
EPLYSTP,2017-07-20,,.056100,2017-07-18,2017-07-31
EPLY8.25,2017-07-20,,.042000,2017-07-18,2017-07-31
JMMB7.5,2017-07-20,,.012700,2017-07-18,2017-07-31
JMMB7.25,2017-07-20,,.015400,2017-07-18,2017-07-31
EPLY9.5,2017-07-20,,.048400,2017-07-18,2017-07-31
GENAC,2017-07-18,,.193940,2017-07-14,2017-07-28
LASD,2017-07-14,,.045000,2017-07-12,2017-07-26
LASM,2017-07-14,,.035000,2017-07-12,2017-07-26
KW,2017-07-12,,.170000,2017-07-10,2017-08-09
PULS,2017-07-05,"Stock Split    ",,2017-07-03,
Proven,2017-06-30,"Stock Split    ",,2017-06-28,
Proven,2017-06-30,"Right          ",,2017-06-28,
ProvenJA,2017-06-30,"Right          ",,2017-06-28,
JMMBGL7.25,2017-06-30,,.008900,2017-06-28,2017-07-14
JMMB7.25,2017-06-30,,.008900,2017-06-28,2017-07-14
JMMBGLUSD5.75,2017-06-30,,.021500,2017-06-28,2017-07-14
JMMBGLUSD6.00,2017-06-30,,.015000,2017-06-28,2017-07-14
JMMBGL7.50,2017-06-30,,.006200,2017-06-28,2017-07-14
DTL11.75,2017-06-29,,.059200,2017-06-27,2017-06-30
ProvenJA,2017-06-28,"Right          ",,2017-06-30,
SGJ,2017-06-28,,.450000,2017-06-26,2017-07-20
SIJL,2017-06-28,,.450000,2017-06-26,2017-07-20
JETCON,2017-06-26,"Stock Split    ",,2017-06-22,
JPS9.5,2017-06-22,,.234246,2017-06-20,2017-06-30
MIL,2017-06-21,,.230000,2017-06-19,2017-06-28
