
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
CFF,2020-10-13,"Stock Split",,2020-10-08,
MJE,2020-05-12,,.060000,2020-05-11,2020-06-26
JMMBGL7.50,2020-04-30,,.002065,2020-04-29,2020-05-14
JMMBGL7.25,2020-04-30,,.003098,2020-04-29,2020-05-14
SJ,2020-04-24,,.400000,2020-04-23,2020-05-06
EPLY8.25,2020-04-20,,.040684,2020-04-17,2020-04-30
EPLY5.00,2020-04-20,,.004110,2020-04-17,2020-04-30
EPLY8.75,2020-04-20,,.043150,2020-04-17,2020-04-30
EPLY7.50,2020-04-20,,.038220,2020-04-17,2020-04-30
JMMBUS6.00,2020-04-01,,.001496,2020-03-31,2020-04-14
SGJ,2020-03-31,,.550000,2020-03-30,2020-04-22
JMMBGLUSD6.00,2020-03-31,,.014958,2020-03-30,2020-04-14
JMMBGLUSD5.75,2020-03-31,,.021503,2020-03-30,2020-04-14
JMMBGL7.50,2020-03-30,,.002137,2020-03-27,2020-04-14
JMMBGL7.25,2020-03-30,,.003205,2020-03-27,2020-04-14
FIRSTROCKJMD,2020-03-26,,.000800,2020-03-25,2020-03-31
FIRSTROCKUSD,2020-03-26,,.000800,2020-03-25,2020-03-31
JSE,2020-03-25,,.370000,2020-03-24,2020-03-31
PJAM,2020-03-23,,.275000,2020-03-20,2020-04-08
EPLY8.25,2020-03-20,,.042041,2020-03-19,2020-03-31
EPLY5.00,2020-03-20,,.004250,2020-03-19,2020-03-31
EPLY8.75,2020-03-20,,.044590,2020-03-19,2020-03-31
EPLY7.50,2020-03-20,,.038220,2020-03-19,2020-03-31
SVL,2020-03-17,,.200000,2020-03-16,2020-04-03
PULS,2020-03-16,"Stock Split    ",,2020-03-13,
GK,2020-03-16,,.400000,2020-03-13,2020-04-06
SCIUSD,2020-03-16,,.002900,2020-03-13,2020-04-06
DCOVE,2020-03-13,,.300000,2020-03-12,2020-03-30
JBG,2020-03-13,,.180000,2020-03-12,2020-04-02
JPS5C,2020-03-13,,.025000,2020-03-12,2020-04-01
JPS5D,2020-03-13,,.025000,2020-03-12,2020-04-01
JPS6,2020-03-13,,.030000,2020-03-12,2020-04-01
JPS7,2020-03-13,,.035000,2020-03-12,2020-04-01
VMIL,2020-03-13,,.030000,2020-03-12,2020-03-27
CHL,2020-03-06,,.100000,2020-03-05,2020-03-27
MEEG,2020-03-06,,.090000,2020-03-05,2020-03-23
SIL,2020-03-05,,.031400,2020-03-04,2020-03-20
SILUS,2020-03-05,,.000237,2020-03-04,2020-03-20
JMMBGL7.50,2020-02-28,,.002279,2020-02-27,2020-03-13
JMMBGL7.25,2020-02-28,,.003419,2020-02-27,2020-03-13
CAR,2020-02-27,,.150000,2020-02-25,2020-03-12
EPLY,2020-02-27,,.570000,2020-02-25,2020-04-03
Proven,2020-02-24,,.003200,2020-02-21,2020-03-06
ProvenJA,2020-02-24,,.450600,2020-02-21,2020-03-06
EPLY8.25,2020-02-20,,.039328,2020-02-19,2020-02-28
EPLY5.00,2020-02-20,,.004380,2020-02-19,2020-02-28
EPLY8.75,2020-02-20,,.041710,2020-02-19,2020-02-28
EPLY7.50,2020-02-20,,.035750,2020-02-19,2020-02-28
AFS,2020-02-14,,.100000,2020-02-13,2020-02-28
NCBFG,2020-02-14,,1.000000,2020-02-13,2020-03-02
WISYNCO,2020-02-14,,.090000,2020-02-13,2020-03-03
MTL,2020-02-07,,.002300,2020-02-06,2020-03-04
ECL,2020-02-07,,.000245,2020-02-06,2020-03-04
PULS,2020-02-04,,.020000,2020-02-03,2020-03-10
JMMBGL7.50,2020-01-30,,.001994,2020-01-29,2020-02-14
JMMBGL7.25,2020-01-30,,.002991,2020-01-29,2020-02-14
EPLY8.25,2020-01-20,,.042041,2020-01-17,2020-01-31
EPLY5.00,2020-01-20,,.004300,2020-01-17,2020-01-31
EPLY8.75,2020-01-20,,.044590,2020-01-17,2020-01-31
EPLY7.50,2020-01-20,,.038220,2020-01-17,2020-01-31
PJAM,2020-01-08,,.250000,2020-01-07,2020-01-31
SEP,2020-01-03,,.500000,2020-01-02,2020-01-31
FTNA,2020-01-03,,.040000,2020-01-02,2020-01-17
LAB,2020-01-03,,.020000,2020-01-02,2020-01-31
PBS,2020-01-02,,.008111,2019-12-31,2020-01-24
