
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
PBS,2020-01-02,,.008111,2019-12-31,2020-01-24
AMG,2019-12-31,,.020000,2019-12-30,2020-01-15
JMMBGLUSD6.00,2019-12-31,,.015123,2019-12-30,2020-01-14
JMMBGLUSD5.75,2019-12-31,,.021739,2019-12-30,2020-01-14
CPFV,2019-12-30,,.012000,2019-12-27,2020-01-09
SGJ,2019-12-24,,.550000,2019-12-23,2020-01-15
JP,2019-12-20,,.150000,2019-12-19,2020-01-17
KW,2019-12-20,,.310000,2019-12-19,2020-01-16
EPLY8.25,2019-12-20,,.042041,2019-12-19,2019-12-31
EPLY5.00,2019-12-20,,.048410,2019-12-19,2019-12-31
EPLY8.75,2019-12-20,,.044590,2019-12-19,2019-12-31
EPLY7.50,2019-12-20,,.038220,2019-12-19,2019-12-31
HONBUN,2019-12-19,,.050000,2019-12-18,2020-01-02
JPS5C,2019-12-13,,.025000,2019-12-12,2019-12-31
JPS5D,2019-12-13,,.025000,2019-12-12,2019-12-31
JPS6,2019-12-13,,.030000,2019-12-12,2019-12-31
JPS7,2019-12-13,,.035000,2019-12-12,2019-12-31
JAMT,2019-12-06,,.030000,2019-12-05,2019-12-20
EPLY,2019-12-05,,.037200,2019-12-04,2019-12-19
SALF,2019-12-03,,.700000,2019-12-02,2019-12-17
DTL,2019-11-29,,.010000,2019-11-28,2019-12-09
JMMBGL7.50,2019-11-29,,.002691,2019-11-28,2019-12-13
JMMBGL7.25,2019-11-29,,.004037,2019-11-28,2019-12-13
JMMB7.50,2019-11-29,,.002607,2019-11-28,2019-12-13
GENAC,2019-11-28,,.138360,2019-11-27,2019-12-13
PJAM,2019-11-27,,.265000,2019-11-26,2019-12-18
VMIL,2019-11-27,,.160000,2019-11-26,2019-12-11
DCOVE,2019-11-26,,.200000,2019-11-25,2019-12-10
Proven,2019-11-25,,.005600,2019-11-22,2019-12-06
JMMBGL,2019-11-25,,.210000,2019-11-22,2019-12-20
ProvenJA,2019-11-25,,.787860,2019-11-22,2019-12-06
GK,2019-11-22,,.400000,2019-11-21,2019-12-13
MTL,2019-11-22,,.002230,2019-11-21,2020-01-15
NCBFG,2019-11-22,,.900000,2019-11-21,2019-12-06
ECL,2019-11-22,,.000245,2019-11-21,2020-01-15
SOS,2019-11-22,,.080000,2019-11-21,2019-12-09
SML,2019-11-22,,.120000,2019-11-21,2019-12-20
CAR,2019-11-21,,.170000,2019-11-20,2019-12-12
SVL,2019-11-21,,.170000,2019-11-20,2019-12-04
EPLY8.25,2019-11-20,,.040684,2019-11-19,2019-11-29
EPLY5.00,2019-11-20,,.004110,2019-11-19,2019-11-29
EPLY8.75,2019-11-20,,.043150,2019-11-19,2019-11-29
JMMB5.50NC,2019-11-20,,.027424,2019-11-19,2019-12-06
JMMB5.75C,2019-11-20,,.028671,2019-11-19,2019-12-06
JMMB7.25C,2019-11-20,,.011917,2019-11-19,2019-12-06
JMMB7.50NC,2019-11-20,,.011506,2019-11-19,2019-12-06
EPLY7.50,2019-11-20,,.036990,2019-11-19,2019-11-29
KPREIT,2019-11-15,,.000780,2019-11-14,2019-12-12
AFS,2019-11-14,,.100000,2019-11-13,2019-11-28
JPS9.5,2019-11-08,,.239452,2019-11-07,2019-11-22
SJ,2019-11-04,,.650000,2019-11-01,2019-11-15
