
Symbol,"Record Date",Action,"Dividend Amount",Ex-Date,"Payment Date"
JMMBGLUSD6.00,2018-12-31,,.020000,2018-12-28,2019-01-14
JMMBGLUSD6.00,2018-12-31,,.015123,2018-12-28,2019-01-14
JMMBGLUSD5.75,2018-12-31,,.020000,2018-12-28,2019-01-14
JMMBGL7.50,2018-12-31,,.004790,2018-12-28,2019-01-14
JMMBGL7.25,2018-12-31,,.010000,2018-12-28,2019-01-14
SGJ,2018-12-27,,.510000,2018-12-24,2019-01-18
GENAC,2018-12-27,,.145500,2018-12-24,2019-01-08
SIL,2018-12-24,"Right          ",,2018-12-21,
SEP,2018-12-24,,.450000,2018-12-21,2019-01-31
JMMB7.25C,2018-12-20,,.013109,2018-12-19,2019-01-04
JMMB7.50NC,2018-12-20,,.012657,2018-12-19,2019-01-04
EPLY5.00,2018-12-20,,.004250,2018-12-19,2018-12-31
EPLY8.75,2018-12-20,,.044590,2018-12-19,2018-12-31
JMMB7.25C,2018-12-20,,.011520,2018-12-19,2019-01-04
JMMB7.50NC,2018-12-20,,.011123,2018-12-19,2019-01-04
JP,2018-12-19,,.120000,2018-12-18,2019-01-17
KW,2018-12-18,,.250000,2018-12-17,2019-01-14
JPS5C,2018-12-14,,.025000,2018-12-13,2018-12-31
JPS5D,2018-12-14,,.025000,2018-12-13,2018-12-31
JPS6,2018-12-14,,.030000,2018-12-13,2018-12-31
JPS7,2018-12-14,,.035000,2018-12-13,2018-12-31
SALF,2018-12-07,,.550000,2018-12-06,2018-12-21
EPLY,2018-12-04,,.037200,2018-12-03,2018-12-18
1834,2018-12-03,,.100000,2018-11-30,2018-12-19
JMMBGL7.50,2018-11-30,,.004635,2018-11-29,2018-12-14
JMMBGL7.25,2018-11-30,,.006953,2018-11-29,2018-12-14
JAMT,2018-11-29,,.030000,2018-11-30,2018-12-14
SIL,2018-11-27,"Stock Split    ",,2018-11-26,
PJAM,2018-11-27,,.300000,2018-11-26,2018-12-18
VMIL,2018-11-27,,.120000,2018-11-26,2018-12-11
JPS9.5,2018-11-26,,.949999,2018-11-23,2018-11-30
GK,2018-11-23,,.500000,2018-11-22,2018-12-13
Proven,2018-11-23,,.002000,2018-11-22,2018-12-07
JMMBGL,2018-11-23,,.210000,2018-11-22,2018-12-19
ProvenJA,2018-11-23,,.254300,2018-11-22,2018-12-07
NCBFG,2018-11-23,,.700000,2018-11-22,2018-12-07
CAR,2018-11-22,,.190000,2018-11-21,2018-12-13
EPLY9.5,2018-11-20,,.046850,2018-11-19,2018-11-30
EPLY8.25,2018-11-20,,.040680,2018-11-19,2018-11-30
EPLY5.00,2018-11-20,,.004110,2018-11-19,2018-11-30
EPLY8.75,2018-11-20,,.043150,2018-11-19,2018-11-30
JMMB5.50NC,2018-11-20,,.027123,2018-11-19,2018-12-06
JMMB5.75C,2018-11-20,,.028356,2018-11-19,2018-12-06
JMMB7.25C,2018-11-20,,.011520,2018-11-19,2018-12-06
JMMB7.50NC,2018-11-20,,.011123,2018-11-19,2018-12-06
PTL,2018-11-16,,.040000,2018-11-15,2018-11-30
AFS,2018-11-09,,.140000,2018-11-08,2018-11-23
SVL,2018-11-09,,.160000,2018-11-08,2018-11-23
JMMBGL7.50,2018-10-31,,.004790,2018-10-30,2018-11-14
JMMBGL7.25,2018-10-31,,.007185,2018-10-30,2018-11-14
SJ,2018-10-24,,.540000,2018-10-23,2018-11-07
EPLY9.5,2018-10-19,,.048410,2018-10-18,2018-10-31
EPLY8.25,2018-10-19,,.042040,2018-10-18,2018-10-31
EPLY5.00,2018-10-19,,.004250,2018-10-18,2018-10-31
EPLY8.75,2018-10-19,,.044590,2018-10-18,2018-10-31
JMMB7.25C,2018-10-19,,.011917,2018-10-18,2018-11-06
JMMB7.50NC,2018-10-19,,.011506,2018-10-18,2018-11-06
JBG,2018-10-10,,.190000,2018-10-09,2018-10-31
SGJ,2018-10-02,,.480000,2018-10-01,2018-10-24
ECL,2018-10-01,,.000611,2018-09-28,2019-01-04
BIL,2018-09-28,,.590000,2018-09-27,2018-10-05
JMMBGLUSD6.00,2018-09-28,,.015123,2018-09-27,2018-10-12
JMMBGLUSD5.75,2018-09-28,,.021739,2018-09-27,2018-10-12
JMMBGL7.50,2018-09-28,,.004635,2018-09-27,2018-10-12
JMMBGL7.25,2018-09-28,,.006953,2018-09-27,2018-10-12
WISYNCO,2018-09-26,,.075000,2018-09-25,2018-10-10
JMMB7.25C,2018-09-20,,.012315,2018-09-19,2018-10-05
JMMB7.50NC,2018-09-20,,.011890,2018-09-19,2018-10-05
EPLY9.5,2018-09-20,,.046850,2018-09-19,2018-09-28
EPLY8.25,2018-09-20,,.040680,2018-09-19,2018-09-28
EPLY5.00,2018-09-20,,.004110,2018-09-19,2018-09-28
EPLY8.75,2018-09-20,,.043150,2018-09-19,2018-09-28
JMMB7.25C,2018-09-20,,.012712,2018-09-19,2018-10-05
JMMB7.50NC,2018-09-20,,.012274,2018-09-19,2018-10-05
SIL,2018-09-19,,.100300,2018-09-18,2018-10-10
SILUS,2018-09-19,,.000769,2018-09-18,2018-10-10
SCIUSD,2018-09-18,,.001335,2018-09-17,2018-10-19
JPS5C,2018-09-14,,.025000,2018-09-13,2018-10-01
JPS5D,2018-09-14,,.025000,2018-09-13,2018-10-01
JPS6,2018-09-14,,.030000,2018-09-13,2018-10-01
JPS7,2018-09-14,,.035000,2018-09-13,2018-10-01
GK,2018-09-07,,.450000,2018-09-06,2018-09-26
KREMI,2018-09-07,,.048000,2018-09-06,2018-09-21
DTL,2018-09-06,"Stock Split    ",,2018-09-05,
PJAM,2018-09-03,,.250000,2018-08-31,2018-09-21
CHL,2018-08-31,,.130000,2018-08-30,2018-09-20
DCOVE,2018-08-31,,.200000,2018-08-30,2018-09-24
EPLY,2018-08-31,,.037200,2018-08-30,2018-09-14
KEX,2018-08-31,,.070000,2018-08-30,2018-09-14
JMMBGL7.50,2018-08-31,,.004790,2018-08-30,2018-09-14
JMMBGL7.25,2018-08-31,,.007185,2018-08-30,2018-09-14
BPOW,2018-08-29,"Stock Split    ",,2018-08-28,
Proven,2018-08-27,,.002500,2018-08-24,2018-09-10
ProvenJA,2018-08-27,,.333500,2018-08-24,2018-09-10
MTL,2018-08-24,,.015000,2018-08-23,2018-11-30
JMMB5.50NC,2018-08-20,,.027726,2018-08-17,2018-09-06
JMMB7.25,2018-08-20,,.015393,2018-08-17,2018-08-31
JMMB7.5,2018-08-20,,.012739,2018-08-17,2018-08-31
EPLY9.5,2018-08-20,,.048410,2018-08-17,2018-08-31
EPLY8.25,2018-08-20,,.042040,2018-08-17,2018-08-31
EPLY5.00,2018-08-20,,.004250,2018-08-17,2018-08-31
EPLY8.75,2018-08-20,,.044590,2018-08-17,2018-08-31
JMMB5.50NC,2018-08-20,,.027424,2018-08-17,2018-09-06
JMMB5.75C,2018-08-20,,.028671,2018-08-17,2018-09-06
JMMB7.25C,2018-08-20,,.011520,2018-08-17,2018-09-06
JMMB7.50NC,2018-08-20,,.011123,2018-08-17,2018-09-06
MDS,2018-08-17,,.104000,2018-08-16,2018-09-05
AFS,2018-08-15,,.220000,2018-08-14,2018-08-29
LASM,2018-08-15,,.038000,2018-08-14,2018-08-31
NCBFG,2018-08-14,,.700000,2018-08-13,2018-08-28
CAR,2018-08-13,,.110000,2018-08-10,2018-08-30
CAR,2018-08-13,,.160000,2018-08-10,2018-08-30
SVL,2018-08-08,,.150000,2018-08-07,2018-08-22
DTL,2018-08-07,,.070000,2018-08-03,2018-08-17
JSE,2018-08-03,,.164000,2018-08-02,2018-08-20
JMMBGL7.50,2018-07-31,,.004790,2018-07-30,2018-08-14
JMMBGL7.25,2018-07-31,,.007185,2018-07-30,2018-08-14
SEP,2018-07-25,,.500000,2018-07-24,2018-08-31
KW,2018-07-20,,.200000,2018-07-19,2018-08-17
JMMB7.25,2018-07-20,,.015393,2018-07-19,2018-07-31
JMMB7.5,2018-07-20,,.012739,2018-07-19,2018-07-31
EPLY9.5,2018-07-20,,.048410,2018-07-19,2018-07-31
EPLY8.25,2018-07-20,,.042040,2018-07-19,2018-07-31
EPLY5.00,2018-07-20,,.004250,2018-07-19,2018-07-31
EPLY8.75,2018-07-20,,.044590,2018-07-19,2018-07-31
JMMB7.25C,2018-07-20,,.012315,2018-07-19,2018-08-03
JMMB7.50NC,2018-07-20,,.011890,2018-07-19,2018-08-03
BPOW,2018-07-16,,.190000,2018-07-13,2018-07-30
JETCON,2018-07-02,,.035000,2018-06-29,2018-07-25
CAC,2018-06-29,,.080000,2018-06-28,2018-07-16
JMMBGLUSD6.00,2018-06-29,,.014958,2018-06-28,2018-07-13
JMMBGLUSD5.75,2018-06-29,,.021503,2018-06-28,2018-07-13
JMMBGL7.50,2018-06-29,,.004635,2018-06-28,2018-07-13
JMMBGL7.25,2018-06-29,,.006953,2018-06-28,2018-07-13
SGJ,2018-06-26,,.480000,2018-06-25,2018-07-18
JMMB7.25,2018-06-20,,.015393,2018-06-19,2018-06-29
JMMB7.5,2018-06-20,,.012739,2018-06-19,2018-06-29
CFF,2018-06-20,,.250000,2018-06-19,2018-07-02
EPLY9.5,2018-06-20,,.046850,2018-06-19,2018-06-29
